conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,placeName.default,teamName.default,teamName.fr,teamCommonName.default,teamAbbrev.default,placeName.fr,teamCommonName.fr
W,11,7,Western,9,10,2025-11-07,C,7,4,Central,5,5,2,14,4,0.285714,40,44,3.142857,6,3,14,17,2,1,7,3,2,0,3,10,5,29,34,3,2,12,5,4,0,5,24,17,16,21,5,3,0.535714,15,0.428571,6,0.357143,5,8,1,26,27,3,2,8,3,3,0,3,20252026,1,0,W,1,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg?season=20252026,0,12,4,0.428571,6,Chicago,Chicago Blackhawks,Blackhawks de Chicago,Blackhawks,CHI,,
E,11,8,Eastern,10,12,2025-11-07,A,7,4,Atlantic,4,7,2,14,-4,-0.285714,54,50,3.571429,7,3,21,24,2,1,9,2,2,0,4,10,6,32,38,2,3,13,3,3,0,5,17,14,22,22,5,3,0.535714,15,0.285714,4,0.285714,4,7,-7,33,26,3,2,6,2,2,0,2,20252026,0,2,OT,2,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,0,11,6,0.428571,6,Ottawa,Ottawa Senators,Sénateurs d'Ottawa,Senators,OTT,,Sénateurs
E,10,2,Eastern,12,13,2025-11-07,M,4,2,Metropolitan,8,6,2,13,-3,-0.230769,46,43,3.307692,7,3,22,25,2,1,9,4,4,0,4,10,3,33,36,2,2,14,6,6,0,6,16,4,25,23,5,2,0.538462,14,0.461538,6,0.461538,6,6,-6,24,18,3,1,5,2,2,0,2,20252026,2,0,OT,1,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,0,16,7,0.461538,6,NY Islanders,New York Islanders,Islanders de New York,Islanders,NYI,,
E,14,10,Eastern,6,14,2025-11-07,M,7,6,Metropolitan,4,7,2,13,0,0.0,41,41,3.153846,6,-3,19,16,3,0,6,3,3,0,3,10,-1,32,31,4,0,12,5,4,0,6,26,16,14,24,6,0,0.538462,14,0.461538,6,0.384615,5,7,3,22,25,3,0,8,3,2,0,4,20252026,0,1,L,2,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,0,15,8,0.538462,7,Columbus,Columbus Blue Jackets,Blue Jackets de Columbus,Blue Jackets,CBJ,,
E,16,14,Eastern,1,15,2025-11-07,M,8,7,Metropolitan,1,8,2,14,-3,-0.214286,34,31,2.214286,6,-12,18,6,5,1,1,0,0,0,0,10,-8,29,21,4,2,10,4,2,0,4,32,25,1,25,6,2,0.5,14,0.428571,6,0.285714,4,8,9,16,25,1,1,13,6,4,0,6,20252026,0,0,L,1,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,0,8,9,0.428571,6,NY Rangers,New York Rangers,Rangers de New York,Rangers,NYR,,
E,5,13,Eastern,16,16,2025-11-07,A,3,7,Atlantic,8,8,2,14,-5,-0.357143,43,38,2.714286,10,1,28,29,3,2,12,4,4,0,5,10,-1,29,28,2,4,12,3,3,0,4,5,20,32,26,5,4,0.5,14,0.285714,4,0.285714,4,4,-6,15,9,2,2,2,0,0,0,0,20252026,0,1,L,1,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,0,7,10,0.357143,5,Buffalo,Buffalo Sabres,Sabres de Buffalo,Sabres,BUF,,
W,15,15,Western,5,11,2025-11-07,P,7,8,Pacific,3,6,2,15,-8,-0.533333,50,42,2.8,6,-4,20,16,4,0,4,2,1,0,2,10,-10,36,26,6,0,8,3,1,0,4,30,31,10,27,8,0,0.466667,14,0.333333,5,0.2,3,9,-4,30,26,4,0,10,3,2,0,5,20252026,0,2,L,1,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,0,6,5,0.466667,7,Vancouver,Vancouver Canucks,Canucks de Vancouver,Canucks,VAN,,
W,5,14,Western,16,12,2025-11-07,C,3,7,Central,8,6,2,16,-14,-0.875,54,40,2.5,10,-6,32,26,4,2,10,3,3,0,4,10,-10,35,25,5,2,8,2,2,0,3,12,30,29,28,7,4,0.4375,14,0.25,4,0.25,4,6,-8,22,14,3,2,4,1,1,0,1,20252026,0,1,L,1,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,0,4,6,0.3125,5,Nashville,Nashville Predators,Predators de Nashville,Predators,NSH,,
W,12,10,Western,10,13,2025-11-07,P,5,5,Pacific,5,7,2,14,-6,-0.428571,54,48,3.428571,8,-7,30,23,3,3,7,2,1,0,2,10,3,32,35,4,1,11,5,2,0,5,25,23,19,29,6,3,0.464286,13,0.357143,5,0.142857,2,6,1,24,25,3,0,6,3,1,0,3,20252026,1,0,W,1,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,0,5,7,0.357143,5,San Jose,San Jose Sharks,Sharks de San Jose,Sharks,SJS,,
W,10,12,Western,14,14,2025-11-07,C,6,6,Central,7,7,2,15,-12,-0.8,55,43,2.866667,8,-7,34,27,3,2,8,2,1,0,3,10,-8,35,27,4,3,9,3,2,0,3,23,28,26,30,7,3,0.433333,13,0.266667,4,0.2,3,7,-5,21,16,4,1,5,2,2,0,2,20252026,0,1,L,1,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,0,3,8,0.333333,5,Minnesota,Minnesota Wild,Wild du Minnesota,Wild,MIN,,
W,13,16,Western,12,15,2025-11-07,C,8,8,Central,6,8,2,15,-18,-1.2,59,41,2.733333,8,-15,34,19,4,2,6,2,2,0,2,10,-15,41,26,6,2,6,2,2,0,2,28,32,21,31,8,2,0.4,12,0.333333,5,0.333333,5,7,-3,25,22,4,0,6,3,3,0,3,20252026,1,0,W,1,https://assets.nhle.com/logos/nhl/svg/STL_light.svg?season=20252026,0,2,9,0.333333,5,St. Louis,St. Louis Blues,Blues de St. Louis,Blues,STL,,
W,14,13,Western,15,16,2025-11-07,P,6,7,Pacific,8,8,2,15,-13,-0.866667,49,36,2.4,6,2,14,16,3,1,5,2,2,0,2,10,-4,30,26,5,2,8,3,3,0,3,29,29,27,32,9,2,0.333333,10,0.2,3,0.2,3,9,-15,35,20,6,1,5,1,1,0,2,20252026,1,1,W,2,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,0,1,10,0.266667,4,Calgary,Calgary Flames,Flames de Calgary,Flames,CGY,,
